spectrum_((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) X,spectrum_((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) Y
0,-6.08546790153751
39062.5,-79.05394887320877
78125,-58.66348586179117
117187.5,-79.05418302014948
156250,-62.36729453045005
195312.5,-79.05465131670394
234375,-56.07875887325284
273437.5,-79.05535376800169
312500,-57.2001179876841
351562.5,-79.05629038192379
390625,-54.75003121484657
429687.5,-79.05746116883866
468750,-66.94526449985743
507812.5,-79.05886614175684
546875,-53.83538445830471
585937.5,-79.06050531623173
625000,-70.19099181067686
664062.5,-79.0623787103475
703125,-43.94249812798836
742187.5,-79.06448634474454
781250,-61.38232103870337
820312.5,-79.06682824257999
859375,-56.85893091887326
898437.5,-79.06940442946889
937500,-74.73446002024868
976562.5,-79.07221493349113
1015625,-73.85472064593002
1054687.5,-79.07525978513782
1093750,-50.51983109074999
1132812.5,-79.07853901730769
1171875,-65.46254304351629
1210937.5,-79.08205266524719
1250000,-65.16690410848221
1289062.5,-79.08580076647424
1328125,-78.87359197102107
1367187.5,-79.08978336086192
1406250,-55.7792639648748
1445312.5,-79.09400049039925
1484375,-58.34456721789662
1523437.5,-79.0984521993293
1562500,-63.89896801385454
1601562.5,-79.10313853396757
1640625,-57.67869232557113
1679687.5,-79.10805954269856
1718750,-62.13038470992095
1757812.5,-79.11321527594026
1796875,-47.12510823704861
1835937.5,-79.11860578600779
1875000,-60.53576887351613
1914062.5,-79.12423112711522
1953125,-58.79010901902213
1992187.5,-79.13009135529012
2031250,-67.4209975670835
2070312.5,-79.13618652824195
2109375,-57.02077753013374
2148437.5,-79.14251670540934
2187500,-57.63116515764003
2226562.5,-79.14908194772981
2265625,-78.91404184043357
2304687.5,-79.1558823176661
2343750,-54.27619415828376
2382812.5,-79.16291787913393
2421875,-70.33354832296982
2460937.5,-79.17018869718703
2500000,-48.37001042878531
2539062.5,-79.1776948383413
2578125,-59.72131666050358
2617187.5,-79.18543636998531
2656250,-74.91792739454284
2695312.5,-79.19341336066891
2734375,-63.14404988802367
2773437.5,-79.20162587978831
2812500,-63.18896749634384
2851562.5,-79.21007399747913
2890625,-55.01146848509855
2929687.5,-79.21875778467248
2968750,-64.90301818679981
3007812.5,-79.22767731267216
3046875,-46.18262291741185
3085937.5,-79.23683265335333
3125000,-61.62468195971044
3164062.5,-79.24622387877345
3203125,-57.5188489232487
3242187.5,-79.25585106118957
3281250,-59.54085389791742
3320312.5,-79.2657142728474
3359375,-66.01966730222968
3398437.5,-79.27581358583799
3437500,-66.21393748149902
3476562.5,-79.28614907199002
3515625,-58.68816529503313
3554687.5,-79.29672080264994
3593750,-53.98806252038192
3632812.5,-79.30752884852328
3671875,-59.23821160627993
3710937.5,-79.31857327960665
3750000,-58.03356304709484
3789062.5,-79.32985416484659
3828125,-80.0127989051382
3867187.5,-79.34137157209017
3906250,-62.76586032431825
3945312.5,-79.35312556782728
3984375,-57.04923780301894
4023437.5,-79.36511621702186
4062500,-70.16572514066192
4101562.5,-79.37734358292731
4140625,-47.92086890688569
4179687.5,-79.38980772679582
4218750,-65.76347998970863
4257812.5,-79.40250870779519
4296875,-51.91123564574561
4335937.5,-79.4154465826674
4375000,-67.82464303583336
4414062.5,-79.42862140553456
4453125,-56.41064869059171
4492187.5,-79.44203322769857
4531250,-87.00631633842706
4570312.5,-79.45568209734743
4609375,-59.65350608881558
4648437.5,-79.46956805930637
4687500,-62.56002201437659
4726562.5,-79.4836911548277
4765625,-61.63528196978586
4804687.5,-79.49805142122671
4843750,-50.18700380753
4882812.5,-79.51264889166796
4921875,-68.16487259471144
4960937.5,-79.527483594906
5000000,-64.76110755365616
5039062.5,-79.5425555548476
5078125,-56.75051938017869
5117187.5,-79.55786479042716
5156250,-64.79796818140242
5195312.5,-79.57341131514747
5234375,-57.18631379303525
5273437.5,-79.58919513680839
5312500,-61.00574409550519
5351562.5,-79.60521625716545
5390625,-55.20992743964503
5429687.5,-79.62147467156878
5468750,-66.59390023763999
5507812.5,-79.63797036860187
5546875,-54.09114090609035
5585937.5,-79.65470332974009
5625000,-61.622447758612
5664062.5,-79.67167352891208
5703125,-51.43213378095913
5742187.5,-79.68888093211545
5781250,-66.64184080943761
5820312.5,-79.70632549708391
5859375,-61.15709827357431
5898437.5,-79.72400717274442
5937500,-61.5675908846929
5976562.5,-79.74192589888582
6015625,-60.18034514921005
6054687.5,-79.76008160561867
6093750,-58.19003508700582
6132812.5,-79.77847421301435
6171875,-65.03591129323087
6210937.5,-79.79710363055264
6250000,-65.29323737362709
6289062.5,-79.81596975662988
6328125,-62.85876700518598
6367187.5,-79.83507247811373
6406250,-64.70275335923783
6445312.5,-79.85441166975895
6484375,-54.3846892536497
6523437.5,-79.87398719370123
6562500,-67.08672466086811
6601562.5,-79.89379889887779
6640625,-61.59705675568024
6679687.5,-79.91384662049444
6718750,-64.6429526208331
6757812.5,-79.93413017939039
6796875,-52.8002804926484
6835937.5,-79.95464938146041
6875000,-78.21747611407585
6914062.5,-79.97540401704211
6953125,-71.75898684431345
6992187.5,-79.99639386022525
7031250,-60.893906107159
7070312.5,-80.01761866823222
7109375,-59.37639583891255
7148437.5,-80.03907818071356
7187500,-50.27543030195823
7226562.5,-80.06077211902485
7265625,-61.37553386982547
7304687.5,-80.08270018559693
7343750,-50.16586302682312
7382812.5,-80.10486206301464
7421875,-61.09576507504815
7460937.5,-80.12725741342719
7500000,-72.04196860398527
7539062.5,-80.14988587767688
7578125,-60.79062783050343
7617187.5,-80.17274707442739
7656250,-66.68491775668194
7695312.5,-80.19584059948264
7734375,-55.6552536374784
7773437.5,-80.21916602471087
7812500,-66.74022315879112
7851562.5,-80.24272289740847
7890625,-41.52866982823463
7929687.5,-80.26651073912038
7968750,-69.92913190143619
8007812.5,-80.29052904493784
8046875,-56.37098404505145
8085937.5,-80.31477728234627
8125000,-57.69443126484524
8164062.5,-80.33925489034391
8203125,-57.00778057904135
8242187.5,-80.36396127840351
8281250,-60.51900376123942
8320312.5,-80.38889582534833
8359375,-58.12158635249152
8398437.5,-80.41405787837959
8437500,-52.68538995414861
8476562.5,-80.43944675184946
8515625,-58.19176048426872
8554687.5,-80.46506172622671
8593750,-54.14076986056739
8632812.5,-80.49090204682615
8671875,-62.74201768958194
8710937.5,-80.51696692266427
8750000,-67.60918372751465
8789062.5,-80.54325552521918
8828125,-69.21444020689253
8867187.5,-80.56976698709838
8906250,-66.22762542694731
8945312.5,-80.59650040077378
8984375,-48.44098595924607
9023437.5,-80.62345481724415
9062500,-60.84832908509357
9101562.5,-80.65062924463014
9140625,-58.09796013512155
9179687.5,-80.67802264677299
9218750,-73.48239405058798
9257812.5,-80.70563394175628
9296875,-56.97398146805951
9335937.5,-80.73346200043807
9375000,-66.07697159728076
9414062.5,-80.76150564492715
9453125,-63.38946713400745
9492187.5,-80.78976364696325
9531250,-63.67533859075284
9570312.5,-80.81823472636844
9609375,-69.32484561120107
9648437.5,-80.84691754930603
9687500,-49.30041974262168
9726562.5,-80.87581072674922
9765625,-61.36358797415883
9804687.5,-80.90491281250975
9843750,-59.0556103993856
9882812.5,-80.9342223016892
9921875,-64.81205866660451
9960937.5,-80.96373762873495
10000000,-61.43538180804573
10039062.5,-80.9934571655394
10078125,-56.99602461737354
10117187.5,-81.02337921969669
10156250,-60.88915967479259
10195312.5,-81.05350203233819
10234375,-53.39855054942097
10273437.5,-81.08382377630565
10312500,-68.87073620833756
10351562.5,-81.11434255400906
10390625,-50.65691840700471
10429687.5,-81.14505639538619
10468750,-68.37231945656372
10507812.5,-81.17596325570671
10546875,-60.26647874888867
10585937.5,-81.20706101351489
10625000,-63.66994867087086
10664062.5,-81.23834746820252
10703125,-65.89777134994199
10742187.5,-81.26982033796571
10781250,-67.71104604829931
10820312.5,-81.30147725728145
10859375,-75.73892979125245
10898437.5,-81.33331577469242
10937500,-54.72153072075699
10976562.5,-81.36533335030333
11015625,-67.33948639375895
11054687.5,-81.39752735332053
11093750,-56.35230045051272
11132812.5,-81.42989505965744
11171875,-71.43261406067074
11210937.5,-81.46243364923365
11250000,-60.26163342707437
11289062.5,-81.49514020352284
11328125,-72.98992015442457
11367187.5,-81.52801170280466
11406250,-81.58979284712501
11445312.5,-81.56104502356473
11484375,-76.25380035141207
11523437.5,-81.59423693576171
11562500,-68.51609977242852
11601562.5,-81.62758410005691
11640625,-51.04093586811188
11679687.5,-81.66108306497816
11718750,-68.51750234811318
11757812.5,-81.6947302642096
11796875,-56.81360075964798
11835937.5,-81.72852201357898
11875000,-63.84727063562905
11914062.5,-81.7624545082713
11953125,-74.66563809453929
11992187.5,-81.79652381981298
12031250,-54.88123470500167
12070312.5,-81.83072589320211
12109375,-66.72314234860019
12148437.5,-81.86505654384092
12187500,-65.81879967088442
12226562.5,-81.89951145455171
12265625,-63.18179380292279
12304687.5,-81.9340861726138
12343750,-70.20524123231478
12382812.5,-81.96877610662959
12421875,-61.52791262469382
12460937.5,-82.00357652354782
12500000,-74.80119265965648
12539062.5,-82.03848254553913
12578125,-72.24685884768246
12617187.5,-82.07348914700387
12656250,-63.41794161761747
12695312.5,-82.10859115142966
12734375,-41.60349015982427
12773437.5,-82.14378322845255
12812500,-67.30852944894633
12851562.5,-82.17905989060583
12890625,-65.13908147418037
12929687.5,-82.21441549060698
12968750,-60.17682546436299
13007812.5,-82.24984421807466
13046875,-64.70065086193283
13085937.5,-82.28534009667655
13125000,-64.30158085454042
13164062.5,-82.3208969812798
13203125,-65.11696325871179
13242187.5,-82.35650855486968
13281250,-67.80734896421683
13320312.5,-82.39216832597745
