spectrum_v /vinput; tran (V) X,spectrum_v /vinput; tran (V) Y
0,0.826854929445078
39062.5,-71.93898977881932
78125,-71.93898977885598
117187.5,-71.93898977872843
156250,-71.93898977871999
195312.5,-71.93898977884595
234375,-71.9389897787992
273437.5,-71.93898977883946
312500,-71.9389897788575
351562.5,-71.93898977879512
390625,-71.9389897788283
429687.5,-71.93898977886639
468750,-71.93898977885236
507812.5,-71.93898977880244
546875,-71.93898977883475
585937.5,-71.93898977880055
625000,-71.93898977881445
664062.5,-71.93898977886099
703125,-71.93898977877954
742187.5,-71.93898977882098
781250,-71.93898977882033
820312.5,-71.93898977881732
859375,-71.93898977882198
898437.5,-71.93898977877343
937500,-71.93898977883566
976562.5,-71.93898977875618
1015625,-71.93898977884888
1054687.5,-71.93898977882489
1093750,-71.93898977882367
1132812.5,-71.93898977879793
1171875,-71.93898977879915
1210937.5,-71.93898977887264
1250000,-71.93898977882269
1289062.5,-71.93898977872874
1328125,-71.93898977874349
1367187.5,-71.9389897788478
1406250,-71.93898977884744
1445312.5,-71.93898977881699
1484375,-71.93898977883555
1523437.5,-71.93898977879704
1562500,-71.93898977878068
1601562.5,-71.93898977883924
1640625,-71.93898977885729
1679687.5,-71.93898977876809
1718750,-71.93898977877024
1757812.5,-71.93898977876142
1796875,-71.93898977879994
1835937.5,-71.93898977884393
1875000,-71.93898977885532
1914062.5,-71.93898977882962
1953125,-71.93898977882913
1992187.5,-71.93898977883603
2031250,-71.93898977884744
2070312.5,-71.93898977883693
2109375,-71.93898977878992
2148437.5,-71.93898977876373
2187500,-71.93898977881287
2226562.5,-71.93898977878956
2265625,-71.93898977881958
2304687.5,-71.9389897787199
2343750,-71.93898977888156
2382812.5,-71.93898977877735
2421875,-71.93898977876883
2460937.5,-71.93898977882213
2500000,-71.93898977876623
2539062.5,-71.93898977891671
2578125,-71.93898977898348
2617187.5,-71.93898977867461
2656250,-71.93898977889857
2695312.5,-71.93898977879284
2734375,-71.93898977875632
2773437.5,-71.93898977881344
2812500,-71.93898977879586
2851562.5,-71.93898977886241
2890625,-71.93898977875422
2929687.5,-71.93898977887679
2968750,-71.93898977881818
3007812.5,-71.9389897788493
3046875,-71.9389897788482
3085937.5,-71.93898977884655
3125000,-71.93898977881128
3164062.5,-71.93898977874743
3203125,-71.93898977886366
3242187.5,-71.93898977878882
3281250,-71.93898977881815
3320312.5,-71.93898977883784
3359375,-71.938989778798
3398437.5,-71.9389897788366
3437500,-71.93898977885883
3476562.5,-71.93898977884366
3515625,-71.93898977888344
3554687.5,-71.9389897787523
3593750,-71.93898977881321
3632812.5,-71.93898977879579
3671875,-71.93898977885809
3710937.5,-71.93898977879924
3750000,-71.9389897788321
3789062.5,-71.93898977878993
3828125,-71.9389897788614
3867187.5,-71.93898977883021
3906250,-71.93898977881582
3945312.5,-71.93898977891365
3984375,-71.93898977877454
4023437.5,-71.93898977876587
4062500,-71.93898977881585
4101562.5,-71.93898977880259
4140625,-71.93898977876722
4179687.5,-71.93898977878378
4218750,-71.93898977882009
4257812.5,-71.93898977879884
4296875,-71.93898977880424
4335937.5,-71.93898977879667
4375000,-71.93898977880609
4414062.5,-71.93898977887497
4453125,-71.93898977885962
4492187.5,-71.93898977880883
4531250,-71.93898977881651
4570312.5,-71.93898977880936
4609375,-71.93898977878028
4648437.5,-71.93898977882714
4687500,-71.93898977881005
4726562.5,-71.93898977873158
4765625,-71.93898977880781
4804687.5,-71.93898977878527
4843750,-71.93898977887935
4882812.5,-71.93898977881267
4921875,-71.93898977884378
4960937.5,-71.93898977887652
5000000,-71.93898977877375
5039062.5,-71.93898977877484
5078125,-71.9389897787924
5117187.5,-71.93898977882297
5156250,-71.93898977885478
5195312.5,-71.93898977879171
5234375,-71.93898977881022
5273437.5,-71.93898977886812
5312500,-71.9389897788288
5351562.5,-71.93898977880012
5390625,-71.93898977880436
5429687.5,-71.93898977884749
5468750,-71.93898977889278
5507812.5,-71.93898977886711
5546875,-71.93898977884146
5585937.5,-71.93898977883272
5625000,-71.93898977884859
5664062.5,-71.93898977884423
5703125,-71.93898977882215
5742187.5,-71.93898977885522
5781250,-71.93898977881632
5820312.5,-71.93898977879719
5859375,-71.93898977883526
5898437.5,-71.93898977882515
5937500,-71.93898977885674
5976562.5,-71.9389897787956
6015625,-71.93898977880917
6054687.5,-71.93898977887125
6093750,-71.93898977886379
6132812.5,-71.93898977881055
6171875,-71.93898977881538
6210937.5,-71.93898977886326
6250000,-71.93898977881888
6289062.5,-71.93898977883573
6328125,-71.93898977881145
6367187.5,-71.93898977885414
6406250,-71.93898977884191
6445312.5,-71.93898977880087
6484375,-71.93898977888105
6523437.5,-71.93898977887157
6562500,-71.93898977881541
6601562.5,-71.93898977884183
6640625,-71.93898977875236
6679687.5,-71.9389897787954
6718750,-71.93898977886997
6757812.5,-71.93898977880504
6796875,-71.93898977881786
6835937.5,-71.93898977889674
6875000,-71.93898977881965
6914062.5,-71.93898977883079
6953125,-71.93898977897017
6992187.5,-71.93898977880863
7031250,-71.93898977893767
7070312.5,-71.93898977871407
7109375,-71.93898977874683
7148437.5,-71.93898977878031
7187500,-71.93898977883669
7226562.5,-71.93898977879881
7265625,-71.9389897787288
7304687.5,-71.93898977890569
7343750,-71.93898977858944
7382812.5,-71.93898977883569
7421875,-71.93898977893423
7460937.5,-71.93898977884581
7500000,-71.93898977882594
7539062.5,-71.93898977886749
7578125,-71.93898977881219
7617187.5,-71.93898977879223
7656250,-71.93898977882586
7695312.5,-71.93898977885041
7734375,-71.9389897789043
7773437.5,-71.93898977886889
7812500,-71.9389897788693
7851562.5,-71.93898977883138
7890625,-71.93898977885651
7929687.5,-71.93898977885662
7968750,-71.93898977887051
8007812.5,-71.93898977881585
8046875,-71.93898977884675
8085937.5,-71.9389897788264
8125000,-71.93898977883758
8164062.5,-71.93898977884098
8203125,-71.93898977878615
8242187.5,-71.93898977882647
8281250,-71.93898977885459
8320312.5,-71.93898977884119
8359375,-71.93898977884672
8398437.5,-71.93898977882205
8437500,-71.93898977883494
8476562.5,-71.93898977884119
8515625,-71.93898977884508
8554687.5,-71.93898977884255
8593750,-71.93898977884653
8632812.5,-71.93898977884135
8671875,-71.93898977885286
8710937.5,-71.93898977887615
8750000,-71.93898977882212
8789062.5,-71.93898977889687
8828125,-71.93898977894568
8867187.5,-71.93898977883262
8906250,-71.93898977883279
8945312.5,-71.93898977885783
8984375,-71.93898977881851
9023437.5,-71.93898977884007
9062500,-71.9389897788538
9101562.5,-71.93898977884541
9140625,-71.9389897788483
9179687.5,-71.938989778832
9218750,-71.93898977891797
9257812.5,-71.93898977891364
9296875,-71.93898977891675
9335937.5,-71.93898977882938
9375000,-71.9389897788388
9414062.5,-71.93898977886062
9453125,-71.93898977886334
9492187.5,-71.93898977886987
9531250,-71.93898977882283
9570312.5,-71.93898977882439
9609375,-71.9389897788548
9648437.5,-71.93898977874812
9687500,-71.93898977886788
9726562.5,-71.93898977887505
9765625,-71.93898977878405
9804687.5,-71.93898977880065
9843750,-71.93898977894581
9882812.5,-71.93898977887105
9921875,-71.93898977884714
9960937.5,-71.93898977888746
10000000,-71.93898977889606
10039062.5,-71.9389897791565
10078125,-71.93898977891084
10117187.5,-71.93898977873351
10156250,-71.93898977890608
10195312.5,-71.93898977875313
10234375,-71.93898977879705
10273437.5,-71.93898977885829
10312500,-71.93898977888746
10351562.5,-71.93898977886695
10390625,-71.93898977881057
10429687.5,-71.93898977889066
10468750,-71.93898977885875
10507812.5,-71.93898977887501
10546875,-71.93898977891085
10585937.5,-71.93898977886356
10625000,-71.93898977879083
10664062.5,-71.93898977881743
10703125,-71.93898977889978
10742187.5,-71.93898977886276
10781250,-71.93898977886028
10820312.5,-71.9389897788428
10859375,-71.93898977886224
10898437.5,-71.93898977889182
10937500,-71.93898977887956
10976562.5,-71.93898977890636
11015625,-71.93898977889026
11054687.5,-71.93898977887773
11093750,-71.93898977888206
11132812.5,-71.93898977887783
11171875,-71.9389897788819
11210937.5,-71.93898977886094
11250000,-71.93898977886595
11289062.5,-71.93898977888934
11328125,-71.93898977886479
11367187.5,-71.93898977887071
11406250,-71.93898977890186
11445312.5,-71.93898977888867
11484375,-71.93898977887517
11523437.5,-71.93898977885399
11562500,-71.93898977890294
11601562.5,-71.93898977882769
11640625,-71.93898977888323
11679687.5,-71.93898977891114
11718750,-71.93898977888281
11757812.5,-71.93898977886994
11796875,-71.93898977888398
11835937.5,-71.93898977903554
11875000,-71.93898977890893
11914062.5,-71.93898977899214
11953125,-71.93898977884166
11992187.5,-71.9389897788535
12031250,-71.93898977890214
12070312.5,-71.93898977886927
12109375,-71.93898977889819
12148437.5,-71.93898977891322
12187500,-71.93898977884727
12226562.5,-71.93898977881882
12265625,-71.93898977908647
12304687.5,-71.93898977913919
12343750,-71.93898977904072
12382812.5,-71.93898977889192
12421875,-71.93898977884649
12460937.5,-71.93898977900008
12500000,-71.93898977887308
12539062.5,-71.93898977888037
12578125,-71.93898977891462
12617187.5,-71.93898977894874
12656250,-71.93898977895995
12695312.5,-71.9389897789242
12734375,-71.93898977892135
12773437.5,-71.93898977898979
12812500,-71.93898977888927
